State,Active,Confirmed,Deceased,Recovered,State-Code
Andaman and Nicobar Islands,22,7475,128,7325,AN
Andhra Pradesh,37323,1896818,12779,1846716,AP
Arunachal Pradesh,2783,36168,176,33209,AR
Assam,23914,513606,4604,483741,AS
Bihar,1692,722282,9594,710995,BR
Chandigarh,147,61700,808,60745,CH
Chhattisgarh,5620,995195,13450,976125,CT
Dadra and Nagar Haveli and Daman and Diu,43,10568,4,10490,DN
Delhi,1041,1434374,24983,1408350,DL
Goa,2174,167103,3062,161867,GA
Gujarat,2644,823687,10064,810979,GJ
Haryana,1293,768800,9461,758046,HR
Himachal Pradesh,1579,202440,3465,197369,HP
Jammu and Kashmir,4209,316291,4333,307749,JK
Jharkhand,831,345794,5113,339850,JH
Karnataka,53871,2849997,35222,2760881,KA
Kerala,103760,2949129,13506,2831394,KL
Madhya Pradesh,514,789887,8989,780384,MP
Maharashtra,116867,6079352,122353,5836920,MH
Manipur,5970,70954,1175,63809,MN
Meghalaya,4652,50575,849,45074,ML
Mizoram,3948,20770,94,16728,MZ
Nagaland,1280,25382,498,22897,NL
Odisha,27685,916109,4162,884262,OR
Puducherry,2232,117640,1759,113649,PY
Punjab,2752,596094,16086,577256,PB
Rajasthan,1312,952573,8930,942331,RJ
Sikkim,2062,20777,308,18154,SK
Tamil Nadu,36707,2488407,32818,2418882,TN
Telangana,12726,625237,3678,608833,TG
Tripura,3856,66626,680,62067,TR
Uttar Pradesh,2671,1706252,22601,1680980,UP
Uttarakhand,1864,340488,7327,325361,UT
West Bengal,19729,1502706,17758,1465219,WB
